listing_id,year_month,reviews
1545185,2018-05-01,7
1545185,2018-06-01,5
1545185,2018-08-01,2
1545185,2018-09-01,4
1545185,2018-10-01,5
1545185,2018-11-01,3
1545185,2019-01-01,1
1545185,2019-03-01,1
1545185,2019-04-01,4
1545185,2019-05-01,4
1545185,2019-06-01,3
1545185,2019-08-01,1
1545185,2019-09-01,4
1545185,2019-10-01,6
1545185,2019-11-01,3
1545185,2020-01-01,2
1545185,2020-03-01,2
1545185,2020-04-01,1
1545185,2020-10-01,1
1545185,2020-11-01,1
1545185,2020-12-01,2
1545185,2021-01-01,2
1545185,2021-05-01,5
1545185,2021-06-01,2
1545185,2021-07-01,1
1545185,2021-08-01,9
1545185,2021-09-01,4
1545185,2021-10-01,7
1545185,2021-11-01,2
1545185,2021-12-01,4
1545185,2022-01-01,3
1545185,2022-02-01,3
1545185,2022-03-01,3
1545185,2022-04-01,3
1545185,2022-05-01,5
1545185,2022-06-01,6
1545185,2022-07-01,10
1545185,2022-08-01,7
1545185,2022-09-01,5
1545185,2022-10-01,7
1545185,2022-11-01,2
1545185,2022-12-01,3
1545185,2023-01-01,1
1545185,2023-02-01,1
1545185,2024-04-01,2
1545185,2024-05-01,8
1545185,2024-06-01,4
1545185,2024-07-01,5
1545185,2024-08-01,5
1545185,2024-09-01,8
1545185,2024-10-01,8
1545185,2024-11-01,2
1545185,2024-12-01,1
1545185,2025-01-01,1
1545185,2025-02-01,3
1545185,2025-03-01,6
1545185,2025-04-01,5
1545185,2025-05-01,5
1545185,2025-06-01,4
1545185,2025-07-01,4
1545185,2025-08-01,8
1545185,2025-09-01,2
1551205,2013-09-01,1
1551205,2013-10-01,1
1551205,2013-12-01,1
1551205,2014-05-01,1
1551205,2014-06-01,1
1551205,2014-07-01,1
1551205,2014-08-01,3
1551205,2014-09-01,3
1551205,2014-10-01,2
1551205,2014-11-01,4
1551205,2015-03-01,2
1551205,2015-04-01,2
1551205,2015-05-01,2
1551205,2015-06-01,3
1551205,2015-07-01,2
1551205,2015-08-01,1
1551205,2015-09-01,1
1551205,2015-10-01,3
1551205,2016-01-01,1
1551205,2016-05-01,1
1551205,2016-08-01,1
1551205,2016-09-01,1
1551205,2016-10-01,2
1596470,2016-07-01,1
1596470,2016-08-01,6
1596470,2016-09-01,6
1596470,2016-10-01,6
1596470,2016-11-01,3
1596470,2016-12-01,3
1596470,2017-01-01,1
1596470,2017-02-01,1
1596470,2017-03-01,5
1596470,2017-04-01,8
1596470,2017-05-01,5
1596470,2017-06-01,8
1596470,2017-07-01,3
1596470,2017-08-01,6
1596470,2017-09-01,5
1596470,2017-10-01,3
1596470,2017-11-01,6
1596470,2017-12-01,4
1596470,2018-01-01,4
1596470,2018-02-01,2
1596470,2018-03-01,7
1596470,2018-04-01,5
1596470,2018-05-01,5
1596470,2018-06-01,3
1596470,2018-07-01,5
1596470,2018-08-01,4
1596470,2018-09-01,6
